pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server,attack
jsql_get_search_0.pcap,192.168.16.1__58196__192.168.16.2__80,http,0.0,0.000744024829301689,0.0009355679077811796,0.020348837209302327,0.012769335450215469,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.047920612373737355,0.026028106557490785,1.0,0.8918918918918919,0.15771622385528547,0.016732692467518077,0.1580152422296175,0.022812702478276253,0.011258531829032165,0.001302367282044284,3.5002301401317137e-06,0.0007959022977560062,0.0007387206684393449,0.000796553329143693,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
normal_traffic_1.pcap,192.168.16.2__59162__192.168.16.5__80,http,0.0,0.12423312801107562,0.0037661123577322703,0.03488372093023256,0.025878884100703107,0.0030307699835462054,0.03550295857988166,0.03977272727272727,0.08462062026515152,0.07620221672916175,1.0,0.8918918918918919,0.2091577162238553,0.06476992547857163,0.2456259113772118,0.08482472175750393,0.0001227261575216963,4.012859304713499e-05,2.1001380840790283e-06,0.09476335579312474,0.07989673519872098,0.08449705801968038,0.8846153846153846,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.625,0.0,0.0,0.4666666666666667,0.1111111111111111,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1091,http,0.0,0.00043325473544312523,0.0005678427610162218,0.01744186046511628,0.010478566568382853,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.04971590909090909,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.01637641848139322,0.0011066723426889939,3.0452002219145907e-05,0.00048626207035448705,0.0004823713121704739,0.0005145031872721855,0.47435897435897434,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58054__192.168.16.2__80,http,0.0,0.004188731953056176,0.025009644657582146,0.22093023255813954,0.31723746881379,0.01512390737090563,0.23668639053254437,0.21022727272727273,0.2333293876262626,0.07194074857511867,1.0,0.8918918918918919,0.3380440927077445,0.016732692467518077,0.2327176838792661,0.014353416404455937,0.04216173037100175,0.005934815168799395,4.550299182171227e-06,0.0016534401269880667,0.00047511979764562314,0.0007143023306136437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jsql_get_search_0.pcap,192.168.16.1__58176__192.168.16.2__80,http,0.0,0.0010780167956073799,0.0009312332302161704,0.020348837209302327,0.0126332501701066,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.047092013888888874,0.026028106557490785,1.0,0.8918918918918919,0.15432447710570943,0.016732692467518077,0.15444608006698865,0.022812702478276253,0.007709851007107807,0.0009000319091009223,2.1001380840790283e-06,0.0011296419047334351,0.0010728772708852494,0.0011291686543467483,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jsql_get_search_0.pcap,192.168.16.1__58060__192.168.16.2__80,http,0.0,0.0015114366937279385,0.0023840726607551295,0.0377906976744186,0.030891358584713088,0.0014722969365853374,0.047337278106508875,0.03409090909090909,0.07705965909090909,0.04318737680650323,1.0,0.8918918918918919,0.15997738835500283,0.016732692467518077,0.1948441311142655,0.026307753841458854,0.01216762818249569,0.0015990377273573354,2.8001841121053708e-06,0.0010342351596699959,0.0009003888780966407,0.0008531347354345397,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1073,http,0.0,0.000442330424568087,0.0005678427610162218,0.01744186046511628,0.010478566568382853,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.04971590909090909,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.016042695384099928,0.0010841248759268795,2.800184112105371e-05,0.0004974813978077982,0.000492586495370678,0.000526533222476485,0.28205128205128205,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
normal_traffic_1.pcap,192.168.16.2__59184__192.168.16.5__80,http,0.0,0.19795945971423404,0.04581176229206191,0.19186046511627908,0.14681333635745067,0.041639858349844336,0.21893491124260356,0.17045454545454544,0.09507636460761461,0.2442871689857534,1.0,0.8918918918918919,0.2707744488411532,0.16228495442834584,0.2815186338194642,0.15635251795208702,0.0004135291881530827,0.000345999462163495,1.0500690420395141e-06,0.09489395857805433,0.026205051187296914,0.051487580659697385,0.9358974358974359,0.0,0.4,0.0,0.0,0.0,0.0,0.625,0.0,0.18604651162790697,0.26666666666666666,0.1111111111111111,0.0
1.pcap,149.154.167.51__80__192.168.87.191__53088,http,0.0,0.16069327628438282,0.001706418068092005,0.029069767441860465,0.05261964164209571,8.763672241579389e-05,0.05325443786982249,0.011363636363636364,0.13814996556473827,0.007712031572589863,0.0,0.7297297297297297,0.15036743923120408,0.0018284067928082666,0.19850672771921668,0.0005904185084958008,0.00018612549040054798,8.970760729734487e-07,2.100138084079028e-05,0.09061953635737709,0.12057291395529107,0.08236564626798108,0.38461538461538464,0.0,0.6,0.5,0.0,0.5,0.0,0.25,1.0,1.0,0.6,0.7777777777777778,0.0
broken_auth_2.pcap,192.168.16.2__59876__192.168.16.5__80,http,0.0,1.7457695004703544e-05,0.011121337739292263,0.03488372093023256,0.023746881378997504,0.010534664340398557,0.03550295857988166,0.03977272727272727,0.07488458806818181,0.2648715605585923,1.0,0.8918918918918919,0.35669869983041264,0.12217081751946145,0.3263305604452612,0.19121743041139502,0.7037912145935704,0.8420541758747029,1.4000920560526854e-06,3.330885274195834e-06,4.442022099416219e-06,1.9634956669331344e-06,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0
broken_auth_2.pcap,192.168.16.2__59872__192.168.16.5__80,http,0.0,1.7829311028928553e-05,0.011115558169205583,0.03488372093023256,0.02356543433885235,0.010534664340398557,0.03550295857988166,0.03977272727272727,0.07405598958333333,0.2648715605585923,1.0,0.8918918918918919,0.35217637083097797,0.12217081751946145,0.3221059382485309,0.19121743041139502,0.6865193676553594,0.8271182523767283,1.0500690420395141e-06,3.312013402953931e-06,4.681035875054814e-06,1.9617168416220015e-06,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1071,http,0.0,0.9993689629583304,0.0006393649408388757,0.020348837209302327,0.011000226808800181,0.0003490862776229123,0.023668639053254437,0.022727272727272728,0.03714883207070705,0.015359796215408143,0.5,0.8108108108108109,0.13397399660825324,0.008200127434412832,0.13724095077032059,0.010027824760084108,4.098081551065536e-06,5.745857505169734e-07,2.380156495289565e-05,0.9998536486385191,0.9998559154141518,0.9998623033943809,0.2564102564102564,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
normal_traffic_1.pcap,192.168.16.2__59144__192.168.16.5__80,http,0.0,0.12573235092480736,0.0011241263818590854,0.02616279069767442,0.014288954411431163,0.0007332272442121422,0.023668639053254437,0.03409090909090909,0.057173295454545456,0.021507999163556175,1.0,0.8918918918918919,0.19559072922555115,0.018450286727428874,0.1978747893183964,0.02194680498649076,7.025972732241308e-05,9.592461474169232e-06,8.400552336316113e-06,0.09442612488996756,0.10291639384200008,0.09303955003962328,0.8205128205128205,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.625,0.0,0.2558139534883721,0.3333333333333333,0.1111111111111111,0.0
