pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server,attack_sqlinj,attack_brokauth,attack_zeus
zeus.pcap,192.168.10.1__80__192.168.10.5__1106,http,0.0,0.00043263537540275023,0.0005425571418870008,0.01744186046511628,0.013480312924290425,0.0003008860802942257,0.01775147928994083,0.022727272727272728,0.043372157515252356,0.013238987532945931,0.5,0.8108108108108109,0.12945166760881854,0.0063717206416045655,0.1421285867404763,0.0072157043615389905,0.01735825801708204,0.0011358135946820933,2.870188714908005e-05,0.00048595068447899564,0.00048167418865817613,0.0005142329252801383,0.6410256410256411,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
broken_auth_2.pcap,192.168.16.2__59830__192.168.16.5__80,http,0.0,1.7812794761185216e-05,0.01111483572294475,0.03488372093023256,0.03355531130794595,0.010534664340398557,0.03550295857988166,0.03977272727272727,0.07590127565169162,0.2648715605585923,1.0,0.8918918918918919,0.3516110797060486,0.12217081751946145,0.3215778611232182,0.19121743041139502,0.7888780635493763,0.8277708111557237,1.4000920560526854e-06,3.6988867634129373e-06,4.670413040585953e-06,2.351739541908051e-06,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,1.0,0.0
broken_auth_2.pcap,192.168.16.2__59854__192.168.16.5__80,http,0.0,1.6235491191696867e-05,0.011088105211293858,0.03488372093023256,0.0333613499709058,0.010512024853774476,0.03550295857988166,0.03977272727272727,0.0752634498058791,0.2643023391806154,1.0,0.8918918918918919,0.34821933295647256,0.12217081751946145,0.3184094014766862,0.19078117933263009,0.8486929974067011,0.8932975463409912,1.4000920560526854e-06,3.3214493385748827e-06,3.6559323484007936e-06,1.9428480028981477e-06,0.5256410256410257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,1.0,0.0
http_traff.pcap,10.0.16.22__80__192.168.16.22__35332,http,0.0,0.13978724883515511,0.003469186944529131,0.06395348837209303,0.10131247171397169,0.0012751143111498012,0.07692307692307693,0.056818181818181816,0.13788377395698528,0.0224420118762365,1.0,0.8918918918918919,0.2526851328434144,0.006842673906418816,0.29363551805085,0.008567874708593754,0.0003303712840771166,1.500448703832041e-05,3.8502531541448845e-06,0.09424298281550052,0.05243843518157063,0.06888550773024554,0.08974358974358974,0.0,0.4,0.0,0.0,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,1.0,0.6,0.6666666666666666,0.0,0.0,0.0
normal_traffic_1.pcap,192.168.16.2__59134__192.168.16.5__80,http,0.0,0.16683725356169804,0.03802740383156599,0.055232558139534885,0.09762720631020883,0.036292557670440644,0.05325443786982249,0.0625,0.19590917494411672,0.5806809227270504,1.0,0.8918918918918919,0.46749576031656304,1.0,0.5669224135319068,1.0,0.0002663383153079728,0.0003578209020766094,1.7501150700658568e-06,0.09639715030214999,0.07152947018542806,0.0755345788233311,0.7564102564102564,0.0,0.4,0.0,0.0,1.0,0.0,0.625,0.0,0.7674418604651163,0.8666666666666667,0.1111111111111111,0.0,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1056,http,0.0,0.0004421735200245253,0.0005678427610162218,0.01744186046511628,0.014935022952091549,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.051026067665002776,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.018442668217368716,0.0010845068790544083,3.010197920513274e-05,0.0004964906245675983,0.0004924098907475626,0.0005253593051221963,0.0641025641025641,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
broken_auth_2.pcap,192.168.16.2__59828__192.168.16.5__80,http,0.0,1.716040218532354e-05,0.011112668384162245,0.03488372093023256,0.033458330639425875,0.010534664340398557,0.03550295857988166,0.03977272727272727,0.07558236272878537,0.2648715605585923,1.0,0.8918918918918919,0.3499152063312606,0.12217081751946145,0.3199936306301288,0.19121743041139502,0.8121217732594851,0.8543969895275895,1.4000920560526854e-06,3.981964832041479e-06,4.250811078894934e-06,2.505764659504109e-06,0.358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,1.0,0.0
broken_auth_0.pcap,192.168.16.2__59742__192.168.16.5__80,http,0.0,1.4311345999598507e-05,0.0011046203328165434,0.020348837209302327,0.02485937803064589,0.000611996444870294,0.01775147928994083,0.028409090909090908,0.10324274357552228,0.02154227485943435,1.0,0.8918918918918919,0.3114754098360656,0.015679973404992106,0.3430476405168904,0.019604265497332043,0.7249605918317903,0.05774681493447917,0.0,2.2174448709235718e-06,8.647484235822051e-06,2.7638381524097742e-06,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58204__192.168.16.2__80,http,0.0,0.0007929129818219562,0.000933400568998675,0.020348837209302327,0.018103058123747334,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.04875824243544708,0.026028106557490785,1.0,0.8918918918918919,0.15602035048049745,0.016732692467518077,0.15623065205217473,0.022812702478276253,0.012089095823784686,0.0012223829022104545,3.5002301401317137e-06,0.0008145288346717642,0.0007876329196133091,0.0008125378781852767,0.24358974358974358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.pcap,149.154.167.50__80__192.168.87.191__53089,http,0.0,0.10129869642961978,0.002129771576941249,0.03197674418604651,0.09394194090644598,8.763672241579389e-05,0.05917159763313609,0.011363636363636364,0.16767732791027298,0.007712031572589863,0.0,0.7297297297297297,0.15036743923120408,0.0018284067928082666,0.17899637175564762,0.0005904185084958008,0.00042491755218452556,1.4230434988472612e-06,2.2401472896842966e-05,0.04539085117347937,0.07015780431073818,0.039222619846765984,0.3974358974358974,0.0,0.6,0.5,0.0,0.5,0.0,0.25,1.0,1.0,0.6,0.7777777777777778,0.0,0.0,0.0
